date,nodur,durbl,manuf,enrgy,hitec,telcm,shops,hlth,utils,other,mkt,smb,hml,rf
201803,-1.08,-5.74,-2.24,3,-3.17,-2.54,-2.52,-2.41,3.17,-2.63,-2.24,4.06,-0.21,0.11
201804,-3.98,-0.07,-3.42,10.05,-0.21,-2.28,3.93,-0.04,2.78,0.62,0.42,1.13,0.54,0.14
201805,-0.56,2.97,2.52,3.41,6.81,-0.83,0.87,2.37,0.22,1.34,2.79,5.26,-3.22,0.14
201806,4.55,0.88,-1.01,0.53,-0.4,6.43,3.03,1.48,2.61,-0.97,0.62,1.13,-2.33,0.14
201807,2.86,-1.63,5.25,1.09,2.45,2.71,3.22,5.92,1.69,3.81,3.35,-2.22,0.45,0.16
201808,-1.15,-0.72,-0.35,-2.84,7.2,2.91,8.04,4.5,0.93,2.27,3.6,1.15,-4,0.16
201809,0.72,-3.95,1.31,3.37,-0.14,1.77,0.6,2.08,-0.56,-1.45,0.21,-2.29,-1.7,0.15
201810,-0.24,-2.86,-9.92,-11.92,-8.77,-0.43,-8.78,-8.79,-0.07,-6.74,-7.49,-4.74,3.41,0.19
201811,0.48,5.33,4.64,-2.2,-1.53,2.53,2.47,6.42,3.28,2.81,1.87,-0.68,0.28,0.18
201812,-11.29,-11.37,-8.74,-13.04,-8.14,-8.7,-9.06,-8.25,-4.76,-10.94,-9.37,-2.37,-1.88,0.2
201901,7.29,10.54,9.72,10.33,9.29,5.44,8.2,5.32,5.42,9.8,8.61,2.89,-0.44,0.21
201902,1.34,3.75,5.19,2.47,5.76,3.23,0.68,3.3,3.56,2.96,3.58,2.07,-2.7,0.18
201903,3.66,-5.36,-0.85,2.02,3.78,0.45,3.43,0.5,3.33,-1.47,1.29,-3.06,-4.13,0.19
201904,3.13,3.33,4.05,0.22,5.85,6.02,4.63,-3.16,1,6.64,4.18,-1.72,2.15,0.21
201905,-5.62,-12.43,-9.16,-11.83,-8.44,-3,-6.04,-3.4,-1.55,-6.17,-6.73,-1.31,-2.37,0.21
201906,4.92,13.15,8.07,8.83,8.03,5.14,7.14,6.83,3.64,6.64,7.11,0.28,-0.7,0.18
201907,1.75,1.03,0.94,-2.68,3.47,2.05,0.91,-2.18,-1.01,1.86,1.38,-1.93,0.47,0.19
201908,-1.38,-4.76,-1.69,-8.74,-2.57,0.29,0.12,-0.64,3.44,-4.69,-2.42,-2.39,-4.79,0.16
201909,1.87,3.69,3.85,3.68,1.17,1.23,0.86,-0.98,3.93,2.06,1.61,-0.96,6.75,0.18
201910,0.07,7.15,0.08,-2.07,3.19,2.16,0.78,4.68,-1.39,3.12,2.22,0.3,-1.9,0.16
201911,2.18,2.69,3.28,1.16,5.23,2.49,2.16,5.61,-2.14,5.08,4,0.79,-2.01,0.12
201912,3.5,5.49,1.36,6.2,3.78,1.02,1.32,3.46,4.11,2.41,2.91,0.74,1.77,0.14
202001,-0.35,6.5,-2.74,-11.88,3.36,-2.1,1.02,-1.99,4.83,-1.45,0.02,-3.12,-6.28,0.13
202002,-8.67,-7.16,-8.6,-15.3,-6.92,-6.21,-6.83,-5.36,-9.85,-9.93,-8.01,1.07,-3.8,0.12
202003,-11.38,-22.8,-16.92,-34.47,-9.86,-13.32,-7.6,-5.09,-12.94,-19.35,-13.25,-4.82,-13.83,0.13
202004,8.05,26.15,10.87,32.36,15.32,9.53,18.05,13.48,5.08,11.08,13.65,2.46,-1.34,0
202005,3.26,7.35,5.8,0.52,7.97,4.79,4.33,4.15,4.6,4.08,5.59,2.49,-4.86,0.01
202006,0.01,14.7,2.58,-0.4,5.9,-2.6,4.28,-1.45,-5,0.16,2.47,2.69,-2.21,0.01
202007,5.86,19.07,4.57,-4.77,6.97,5.04,9.47,4.39,6.35,3.53,5.78,-2.31,-1.41,0.01
202008,4.45,41.97,6.18,-1.08,10.43,5.6,8.15,2.35,-2.24,6.9,7.64,-0.24,-2.97,0.01
202009,-2.07,-9.2,-0.16,-14.9,-5.2,-1.98,-3.86,-1.46,-0.32,-2.93,-3.62,0.02,-2.7,0.01
202010,-2.69,-3.38,-0.72,-4.5,-1.88,-3.85,-2.64,-4.4,4.47,-1.58,-2.09,4.38,4.23,0.01
202011,10.02,34.48,13.94,28.49,10.8,14.48,8.32,9.86,2.68,15.87,12.48,5.8,2.06,0.01
202012,4.91,15.63,2.53,6.27,5.14,5.24,1.4,4.7,0.63,5.54,4.64,4.88,-1.51,0.01
202101,-4.15,11.83,-2.35,4.67,0.59,-3.52,-0.16,3.43,-0.44,-2.82,-0.02,7.37,3.04,0.01
202102,1.32,-8.3,5.54,23.36,1.57,4.24,-1.67,-1.28,-4.57,9.71,2.78,2.06,7.09,0
202103,7.27,0.69,7.73,2.25,0.72,1.62,5.7,-0.08,10.37,5.69,3.08,-2.36,7.4,0
202104,3.32,4.32,2.47,0.72,6.41,3.06,7.18,2.97,3.97,5.63,4.93,-3.19,-0.97,0
202105,1.97,-5.46,2.76,6.16,-0.85,-0.58,-2.25,-0.11,-1.16,2.87,0.29,-0.21,7.08,0
202106,-0.8,5.68,-1.01,5.51,6.92,0.02,2.82,4.39,-1.41,-2.48,2.75,1.66,-7.84,0
202107,0.21,-0.96,1.33,-8.58,3.38,0.33,0.26,2.92,2.97,-0.42,1.27,-3.97,-1.84,0
202108,-0.28,1.78,0.55,-1.19,4.65,1.34,2.38,2.85,3.23,2.59,2.91,-0.41,-0.19,0
202109,-4.56,2.8,-5.79,10.99,-6.22,-5.58,-4.2,-6.01,-4.86,-2.26,-4.37,0.68,5.15,0
202110,3.74,30.86,4.99,10.33,7.8,-4.23,4.97,2.25,5.11,7.25,6.65,-2.35,-0.45,0
202111,-3.87,2.04,-0.69,-5.35,0.99,-7.18,1.5,-4.29,-1.96,-4.96,-1.55,-1.31,-0.44,0
202112,8.06,-4.69,5.81,3.1,1.79,3.91,1.36,6.62,8.55,4.87,3.11,-1.68,3.25,0.01
202201,-0.66,-10.31,-5.84,17.43,-8.34,-1.91,-8.95,-8.77,-2.1,-3.22,-6.25,-5.95,12.88,0
202202,-0.56,-7.08,-1.23,8.27,-4.98,0.27,-1.52,-1,-1.1,-0.97,-2.29,2.2,3.11,0
202203,0.43,15.05,0.92,9.72,3.29,-2.44,3.02,5.13,9.67,1,3.06,-1.62,-1.81,0.01
202204,2.26,-16.96,-5.3,-1.24,-12.6,-10.63,-9.93,-6.88,-3.71,-8.98,-9.45,-1.39,6.2,0.01
202205,-1.63,-9.04,-0.38,15.57,-2.09,8.62,-4.09,0.96,4.79,0.66,-0.31,-1.84,8.48,0.03
202206,-3.91,-11.89,-9.45,-16.52,-8.31,-6.65,-7.72,-2.01,-6.54,-9.76,-8.37,2.1,-6.01,0.06
202207,4.15,27.65,8.37,10.43,11.77,-0.04,14.65,2.77,6.3,8.69,9.65,2.8,-4.05,0.08
202208,-1.82,-5.81,-3.48,3.32,-5.25,-2.86,-3.14,-5.03,0.15,-2.62,-3.58,1.4,0.29,0.19
202209,-8.35,-6.55,-11.54,-9.14,-11.42,-13.85,-7.63,-1.91,-11.62,-8.05,-9.16,-0.82,0.05,0.19
202210,9.98,-6.61,12.21,23.61,5.02,10.58,4.25,8.8,3.51,11.66,8.06,0.07,8.02,0.23
202211,5.3,-8.1,9.03,0.99,5.28,2.15,3.85,5.35,6.78,5.99,4.89,-3.5,1.38,0.29
202212,-2.66,-28.07,-2.35,-4.17,-7.92,-6.81,-7.97,-1.74,-1.21,-5.37,-6.08,-0.7,1.36,0.33
202301,-0.37,29.03,5.93,2.82,9.71,13.53,9.74,-1.03,-1.24,7.32,7,5,-4.02,0.35
202302,-2.18,11,-1.85,-6.84,-0.25,-6.5,-4.65,-4.29,-5.32,-2.68,-2.24,1.17,-0.8,0.34
202303,3.13,-0.62,0.37,-0.32,10.33,-0.13,3.49,2.49,3.89,-5.01,2.87,-5.52,-8.87,0.36
202304,3.16,-15.24,-0.58,2.59,0.26,0.99,2.19,4.12,1.72,1.83,0.96,-3.35,-0.05,0.35
202305,-5.35,13.52,-5.54,-9.51,8.23,-9.4,0.62,-3.67,-5.82,-2.65,0.71,1.6,-7.72,0.36
202306,2.84,24.66,10.69,6.42,5.91,4.63,7.89,4.66,2.61,7.44,6.86,1.54,-0.25,0.4
202307,2.32,2.73,3.19,7.34,4.3,0.98,2.28,-0.11,2.79,5.24,3.66,2.07,4.09,0.45
202308,-3.77,-4.31,-2.37,1.95,-1.68,0.14,-0.4,-0.22,-5.29,-3.35,-1.94,-3.12,-1.12,0.45
202309,-4.57,-2.58,-7.08,3.17,-5.98,-3.22,-5.68,-4.71,-5.04,-3.41,-4.81,-2.49,1.51,0.43
202310,-3.53,-17.88,-2.76,-6.24,-1.78,-0.18,0.47,-4.58,1.12,-2.52,-2.71,-3.86,0.17,0.47
202311,5.02,15.76,8.68,-1.29,11.96,6.97,7.18,5.87,5.08,10.41,9.28,-0.01,1.61,0.44
202312,3.53,6.61,6.35,0.18,4.7,2.26,5.9,6.9,1.69,6.54,5.3,6.34,4.93,0.43
202401,-1.77,-17.91,-1.22,-0.11,3.04,4.53,1.28,3.52,-3,1.04,1.17,-5.1,-2.33,0.47
202402,1.92,7.21,5.26,2.95,6.15,-2.72,9.46,4.63,2.43,4.75,5.48,-0.16,-3.54,0.42
202403,2.99,-5.56,4.48,10.32,2.42,3.08,2.63,2.19,7.03,4.46,3.26,-2.46,4.16,0.43
202404,-1.54,-0.96,-3.87,-0.63,-4.39,-6.52,-4.73,-5.86,1.57,-4.61,-4.2,-2.34,-0.54,0.47
202405,1.38,-0.75,2.93,-0.49,8.03,3.74,2.45,3.14,8.01,3.31,4.78,0.61,-1.37,0.44
202406,-2.26,6.1,-1.82,-2.05,7.48,-0.61,3.56,2.95,-4.21,-0.16,3.19,-3.02,-3.31,0.41
